               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.047996,            0.012996,            0.018165,             0.49276,             0.51944,             0.46128,             0.16535,            0.036897,            0.010675,            0.017024,            0.008812,            0.008812,            0.008812
                  38,            0.048009,             0.01262,            0.018254,             0.56867,             0.55166,             0.48839,             0.18082,            0.038855,             0.01074,            0.017737,            0.008779,            0.008779,            0.008779
                  39,            0.047042,             0.01294,            0.018251,             0.48892,             0.44111,             0.38991,             0.14036,            0.041156,            0.010716,             0.01839,            0.008746,            0.008746,            0.008746
                  40,            0.044653,            0.012731,            0.017659,             0.56198,             0.54693,             0.48185,             0.17695,            0.036506,            0.010631,            0.015937,            0.008713,            0.008713,            0.008713
                  41,            0.047863,            0.012895,            0.016975,             0.50867,             0.52321,             0.45489,             0.16924,            0.038045,            0.010985,            0.015983,             0.00868,             0.00868,             0.00868
                  42,            0.042606,             0.01255,            0.016685,             0.57042,             0.53786,             0.47793,              0.1743,            0.035459,            0.010879,            0.015602,            0.008647,            0.008647,            0.008647
                  43,            0.045187,            0.012322,            0.015643,             0.59587,               0.533,             0.51819,             0.19719,            0.034297,            0.010447,             0.01578,            0.008614,            0.008614,            0.008614
                  44,            0.044378,            0.012442,            0.016701,             0.61738,             0.54011,              0.5365,             0.20528,            0.033379,            0.010262,            0.015215,            0.008581,            0.008581,            0.008581
                  45,            0.046573,            0.012485,            0.016125,             0.59185,             0.58563,              0.5349,             0.20779,            0.035257,           0.0099498,            0.015396,            0.008548,            0.008548,            0.008548
                  46,            0.045816,            0.012522,            0.014999,             0.56948,             0.60518,             0.55192,             0.20695,            0.036145,            0.010081,            0.014254,            0.008515,            0.008515,            0.008515
                  47,            0.046335,             0.01242,            0.015193,             0.61965,             0.53662,             0.51915,             0.19961,            0.037229,            0.010023,            0.014874,            0.008482,            0.008482,            0.008482
                  48,            0.039047,            0.012266,            0.015001,             0.62956,             0.53656,             0.53819,             0.20391,            0.035687,            0.010177,            0.014897,            0.008449,            0.008449,            0.008449
                  49,            0.042064,            0.011746,             0.01423,             0.62874,             0.60125,             0.57589,             0.22887,            0.036047,            0.010038,            0.013847,            0.008416,            0.008416,            0.008416
                  50,            0.046054,            0.012242,            0.014731,             0.62682,             0.58818,             0.54766,             0.19421,            0.036126,            0.010059,            0.013792,            0.008383,            0.008383,            0.008383
                  51,            0.046384,             0.01191,            0.013963,             0.62094,             0.59852,             0.58657,             0.21208,            0.035394,            0.010005,            0.013307,             0.00835,             0.00835,             0.00835
                  52,            0.043714,            0.012376,            0.013232,                0.58,             0.59644,             0.53759,             0.20099,            0.037764,            0.010211,            0.013502,            0.008317,            0.008317,            0.008317
                  53,            0.044898,            0.011618,            0.013321,             0.58364,             0.55049,               0.512,             0.17975,            0.035212,            0.010012,            0.012697,            0.008284,            0.008284,            0.008284
                  54,            0.039478,            0.011736,            0.012728,             0.68576,             0.61754,             0.61432,              0.2481,            0.033057,            0.009582,            0.011732,            0.008251,            0.008251,            0.008251
                  55,            0.038683,            0.012015,            0.012612,             0.64493,             0.66039,             0.63782,             0.25783,            0.032312,             0.00969,            0.011793,            0.008218,            0.008218,            0.008218
                  56,            0.040427,            0.012462,            0.012293,              0.6837,              0.6418,             0.63946,              0.2521,            0.032458,           0.0096707,            0.010438,            0.008185,            0.008185,            0.008185
                  57,             0.04481,            0.011475,             0.01263,              0.6812,              0.6488,             0.64757,             0.25758,            0.034875,           0.0095564,            0.011013,            0.008152,            0.008152,            0.008152
                  58,            0.041568,            0.011495,            0.012758,              0.7326,             0.61933,              0.6573,             0.26315,            0.036287,            0.010079,            0.010658,            0.008119,            0.008119,            0.008119
                  59,            0.040298,            0.011712,            0.012054,             0.73021,             0.65034,             0.65258,             0.25956,            0.032688,            0.009738,            0.010879,            0.008086,            0.008086,            0.008086
                  60,            0.042235,            0.011676,            0.011779,             0.66485,             0.65453,             0.64307,             0.24049,             0.03434,           0.0093646,            0.010827,            0.008053,            0.008053,            0.008053
                  61,            0.041279,            0.011733,              0.0128,             0.64086,             0.67006,             0.64256,             0.24186,            0.033097,            0.009412,           0.0099731,             0.00802,             0.00802,             0.00802
